Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","2","0","11","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","22","20","1,777","19.7","0","1","1","0","0","0","2","0","1.4","1.4","0.7","2.1","38","103","87","0.00","0.05","0.05","0.00","0.05","0.07","0.04","0.11","0.07","0.11",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","33","33","2,889","32.1","3","0","3","3","0","0","4","1","1.9","1.9","0.3","2.2","18","99","3","0.09","0.00","0.09","0.09","0.09","0.06","0.01","0.07","0.06","0.07",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","3","0","60","0.7","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","1","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","18","15","1,320","14.7","0","0","0","0","0","0","5","0","1.0","1.0","0.8","1.8","32","65","16","0.00","0.00","0.00","0.00","0.00","0.07","0.05","0.12","0.07","0.12",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","38","32","2,963","32.9","3","1","4","3","0","0","5","0","1.5","1.5","1.7","3.3","32","138","35","0.09","0.03","0.12","0.09","0.12","0.05","0.05","0.10","0.05","0.10",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","24","9","912","10.1","3","2","5","3","0","0","1","0","2.1","2.1","0.3","2.4","13","21","48","0.30","0.20","0.49","0.30","0.49","0.21","0.03","0.24","0.21","0.24",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","1","0","2","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14","14","1,260","14.0","0","0","0","0","0","0","1","0","1.4","1.4","0.1","1.5","2","31","1","0.00","0.00","0.00","0.00","0.00","0.10","0.01","0.11","0.10","0.11",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","14","14","1,222","13.6","1","0","1","1","0","0","5","1","0.6","0.6","0.4","1.0","12","55","21","0.07","0.00","0.07","0.07","0.07","0.04","0.03","0.07","0.04","0.07",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","22","12","1,040","11.6","6","1","7","6","0","0","0","0","5.9","5.9","0.7","6.6","12","11","66","0.52","0.09","0.61","0.52","0.61","0.51","0.06","0.57","0.51","0.57",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","5","0","60","0.7","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","14","2","441","4.9","0","0","0","0","0","0","2","0","0.3","0.3","0.0","0.3","15","28","19","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.07","0.06","0.07",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","32","32","2,813","31.3","0","1","1","0","0","0","9","1","1.1","1.1","1.0","2.1","41","141","46","0.00","0.03","0.03","0.00","0.03","0.03","0.03","0.07","0.03","0.07",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","7","0","100","1.1","1","0","1","1","0","0","1","0","0.1","0.1","0.0","0.1","3","3","12","0.90","0.00","0.90","0.90","0.90","0.13","0.00","0.13","0.13","0.13",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","30","26","2,330","25.9","1","2","3","1","0","0","5","0","1.0","1.0","2.6","3.6","65","114","133","0.04","0.08","0.12","0.04","0.12","0.04","0.10","0.14","0.04","0.14",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","36","30","2,667","29.6","9","5","14","9","0","0","1","0","9.8","9.8","5.0","14.8","32","57","149","0.30","0.17","0.47","0.30","0.47","0.33","0.17","0.50","0.33","0.50",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","27","21","1,850","20.6","1","1","2","1","0","0","3","0","1.3","1.3","0.9","2.2","27","113","70","0.05","0.05","0.10","0.05","0.10","0.07","0.04","0.11","0.07","0.11",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","18","3","479","5.3","2","3","5","2","0","0","2","0","2.1","2.1","2.3","4.5","20","17","58","0.38","0.56","0.94","0.38","0.94","0.40","0.44","0.84","0.40","0.84",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","33","33","2,953","32.8","0","0","0","0","0","0","1","0","1.1","1.1","0.3","1.4","5","75","3","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.04","0.03","0.04",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","3","0","36","0.4","0","0","0","0","0","0","0","0","0.3","0.3","0.0","0.3","4","0","4","0.00","0.00","0.00","0.00","0.00","0.85","0.00","0.85","0.85","0.85",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","35","25","2,418","26.9","2","5","7","2","0","0","6","0","1.9","1.9","4.4","6.3","54","188","48","0.07","0.19","0.26","0.07","0.26","0.07","0.16","0.23","0.07","0.23",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","1","0","10","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3","3","270","3.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","26","16","1,558","17.3","0","1","1","0","0","0","1","0","0.1","0.1","0.7","0.9","11","39","36","0.00","0.06","0.06","0.00","0.06","0.01","0.04","0.05","0.01","0.05",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","12","9","800","8.9","0","0","0","0","0","0","2","0","0.1","0.1","0.1","0.2","6","46","7","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.02","0.01","0.02",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","15","8","701","7.8","1","0","1","1","0","0","0","0","0.6","0.6","0.5","1.1","7","9","33","0.13","0.00","0.13","0.13","0.13","0.08","0.06","0.14","0.08","0.14",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","29","14","1,356","15.1","1","2","3","1","0","0","4","0","1.5","1.5","1.3","2.8","50","43","82","0.07","0.13","0.20","0.07","0.20","0.10","0.09","0.19","0.10","0.19",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35","35","3,147","35.0","3","1","4","3","0","0","6","0","3.2","3.2","0.7","4.0","14","136","2","0.09","0.03","0.11","0.09","0.11","0.09","0.02","0.11","0.09","0.11",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","12","7","559","6.2","4","1","5","3","1","2","0","0","3.5","1.9","1.2","3.1","12","12","39","0.64","0.16","0.81","0.48","0.64","0.56","0.19","0.75","0.31","0.50",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","33","27","2,225","24.7","1","3","4","1","0","0","6","0","0.9","0.9","4.7","5.6","74","101","231","0.04","0.12","0.16","0.04","0.16","0.03","0.19","0.23","0.03","0.23",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","6","3","252","2.8","0","0","0","0","0","0","2","1","0.2","0.2","0.0","0.3","8","11","3","0.00","0.00","0.00","0.00","0.00","0.08","0.01","0.09","0.08","0.09",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","20","10","899","10.0","2","0","2","2","0","0","0","0","1.4","1.4","0.2","1.5","31","25","17","0.20","0.00","0.20","0.20","0.20","0.14","0.02","0.16","0.14","0.16",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","27","26","2,146","23.8","2","2","4","2","0","0","9","0","2.3","2.1","1.3","3.4","26","92","25","0.08","0.08","0.17","0.08","0.17","0.10","0.05","0.15","0.09","0.14",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","2","0","36","0.4","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","1","1","0","0.00","0.00","0.00","0.00","0.00","0.23","0.00","0.23","0.23","0.23",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","25","14","1,289","14.3","0","0","0","0","0","0","3","0","0.8","0.8","0.3","1.1","11","43","1","0.00","0.00","0.00","0.00","0.00","0.06","0.02","0.08","0.06","0.08",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","31","31","2,664","29.6","2","1","3","2","0","0","3","0","1.2","1.2","1.5","2.8","63","106","50","0.07","0.03","0.10","0.07","0.10","0.04","0.05","0.09","0.04","0.09",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","21","16","1,404","15.6","1","1","2","1","0","0","1","0","0.6","0.6","0.6","1.2","47","54","85","0.06","0.06","0.13","0.06","0.13","0.04","0.04","0.08","0.04","0.08",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","3","2","187","2.1","0","1","1","0","0","0","0","0","0.1","0.1","0.3","0.3","7","11","18","0.00","0.48","0.48","0.00","0.48","0.03","0.13","0.16","0.03","0.16",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","33","31","2,780","30.9","2","0","2","2","0","0","3","1","1.9","1.9","0.5","2.4","13","73","7","0.06","0.00","0.06","0.06","0.06","0.06","0.02","0.08","0.06","0.08",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","35","34","2,967","33.0","16","4","20","12","4","5","5","0","15.7","11.8","3.9","15.7","33","61","224","0.49","0.12","0.61","0.36","0.49","0.48","0.12","0.60","0.36","0.48",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","28","26","2,350","26.1","2","0","2","2","0","0","4","0","1.7","1.7","0.3","2.0","26","159","7","0.08","0.00","0.08","0.08","0.08","0.06","0.01","0.08","0.06","0.08",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","13","10","865","9.6","1","0","1","1","0","0","3","1","0.3","0.3","0.2","0.5","12","15","15","0.10","0.00","0.10","0.10","0.10","0.03","0.02","0.05","0.03","0.05",
