Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Oliver Christensen","dkDEN","GK","Fiorentina","itSerie A","24","1999","4","4","360","4.0","9","2.25","19","10","63.2","1","1","2","0","0.0","2","2","0","0","0.0",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","36","1987","35","35","3,150","35.0","68","1.94","159","93","61.6","6","8","21","3","8.6","10","7","1","2","12.5",
"Nikita Contini Baranovsky","itITA","GK","Napoli","itSerie A","27","1996","1","0","17","0.2","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Benoît Costil","frFRA","GK","Salernitana","itSerie A","36","1987","13","13","1,170","13.0","29","2.23","66","38","60.6","2","3","8","1","7.7","3","3","0","0","0.0",
"Grégoire Coudert","frFRA","GK","Brest","frLigue 1","24","1999","3","2","181","2.0","0","0.00","4","4","100.0","2","0","0","2","100.0","0","0","0","0","",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","31","1992","4","4","332","3.7","0","0.00","15","15","100.0","3","1","0","3","75.0","0","0","0","0","",
"Alessio Cragno","itITA","GK","Sassuolo","itSerie A","29","1994","3","3","270","3.0","7","2.33","14","8","57.1","1","1","1","0","0.0","1","1","0","0","0.0",
"Cristian","esESP","GK","Valencia","esLa Liga","25","1998","1","0","57","0.6","1","1.58","3","2","66.7","0","0","0","0","","0","0","0","0","",
"Iván Cuéllar","esESP","GK","Mallorca","esLa Liga","39","1984","1","1","90","1.0","1","1.00","6","5","83.3","1","0","0","0","0.0","0","0","0","0","",
"Finn Dahmen","deGER","GK","Augsburg","deBundesliga","25","1998","31","31","2,790","31.0","52","1.68","158","106","71.5","10","9","12","3","9.7","10","7","2","1","22.2",
"Rémy Descamps","frFRA","GK","Nantes","frLigue 1","27","1996","6","6","540","6.0","11","1.83","37","26","73.0","2","2","2","1","16.7","2","1","0","1","0.0",
"Arthur Desmas","frFRA","GK","Le Havre","frLigue 1","29","1994","33","33","2,970","33.0","43","1.30","153","111","72.5","7","11","15","7","21.2","3","1","1","1","50.0",
"Raffaele Di Gennaro","itITA","GK","Inter","itSerie A","29","1993","1","0","23","0.3","0","0.00","4","4","100.0","0","0","0","0","","0","0","0","0","",
"Michele Di Gregorio","itITA","GK","Monza","itSerie A","26","1997","33","33","2,872","31.9","35","1.10","159","122","79.9","11","11","11","12","36.4","5","3","2","0","40.0",
"Mory Diaw","snSEN","GK","Clermont Foot","frLigue 1","30","1993","30","30","2,700","30.0","54","1.80","188","134","74.5","4","8","18","5","16.7","8","6","1","1","14.3",
"Guillaume Dietsch","frFRA","GK","Metz","frLigue 1","22","2001","1","0","73","0.8","1","1.23","3","2","66.7","0","0","0","0","","0","0","0","0","",
"Stole Dimitrievski","mkMKD","GK","Rayo Vallecano","esLa Liga","29","1993","37","37","3,330","37.0","47","1.27","150","104","69.3","8","14","15","13","35.1","2","1","1","0","50.0",
"Yehvann Diouf","snSEN","GK","Reims","frLigue 1","23","1999","34","34","3,060","34.0","47","1.38","137","90","70.1","13","8","13","8","23.5","7","6","1","0","14.3",
"Marko Dmitrović","rsSRB","GK","Sevilla","esLa Liga","31","1992","13","13","1,170","13.0","25","1.92","68","44","66.2","2","2","9","2","15.4","2","2","0","0","0.0",
"Jaume Doménech","esESP","GK","Valencia","esLa Liga","32","1990","2","1","79","0.9","3","3.42","12","9","75.0","0","0","1","0","0.0","0","0","0","0","",
"Gianluigi Donnarumma","itITA","GK","Paris S-G","frLigue 1","24","1999","25","25","2,169","24.1","20","0.83","110","89","84.5","18","6","1","10","40.0","4","3","1","0","25.0",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","34","1989","23","22","1,985","22.1","42","1.90","130","87","70.8","9","4","9","5","22.7","5","4","1","0","20.0",
"Ederson","brBRA","GK","Manchester City","engPremier League","29","1993","33","33","2,785","30.9","27","0.87","82","56","70.7","24","6","3","10","30.3","3","3","0","0","0.0",
"Aarón Escandell","esESP","GK","Las Palmas","esLa Liga","27","1995","2","1","153","1.7","3","1.76","4","1","25.0","0","0","1","0","0.0","0","0","0","0","",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","38","1985","10","7","721","8.0","21","2.62","53","33","66.0","3","1","3","1","14.3","3","3","0","0","0.0",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","28","1995","38","38","3,420","38.0","54","1.42","173","119","71.7","8","14","16","7","18.4","6","5","1","0","16.7",
"Aitor Fernández","esESP","GK","Osasuna","esLa Liga","32","1991","7","6","551","6.1","9","1.47","20","11","60.0","0","2","4","1","16.7","1","1","0","0","0.0",
"Raúl Fernández","esESP","GK","Granada","esLa Liga","35","1988","4","4","280","3.1","11","3.54","17","7","35.3","1","0","3","0","0.0","1","0","0","1","",
"Fernando","esESP","GK","Almería","esLa Liga","33","1990","4","4","360","4.0","10","2.50","23","13","56.5","1","1","2","0","0.0","0","0","0","0","",
"André Ferreira","ptPOR","GK","Granada","esLa Liga","27","1996","15","14","1,340","14.9","29","1.95","77","49","66.2","0","5","9","0","0.0","3","3","0","0","0.0",
"Vincenzo Fiorillo","itITA","GK","Salernitana","itSerie A","33","1990","4","4","360","4.0","8","2.00","26","18","69.2","0","2","2","0","0.0","0","0","0","0","",
"Mark Flekken","nlNED","GK","Brentford","engPremier League","30","1993","37","37","3,285","36.5","63","1.73","176","113","65.3","10","9","18","7","18.9","2","2","0","0","0.0",
"Wes Foderingham","engENG","GK","Sheffield Utd","engPremier League","32","1991","30","29","2,649","29.4","79","2.68","204","130","63.7","3","4","22","1","3.4","6","5","0","1","0.0",
"Daniel Fuzato","brBRA","GK","Getafe","esLa Liga","26","1997","1","0","7","0.1","2","25.71","2","0","0.0","0","0","0","0","","0","0","0","0","",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","31","1992","38","38","3,420","38.0","46","1.21","168","121","75.6","25","6","7","12","31.6","7","5","1","1","16.7",
"Luca Gemello","itITA","GK","Torino","itSerie A","23","2000","2","2","180","2.0","5","2.50","9","4","55.6","0","0","2","0","0.0","1","1","0","0","0.0",
"David Gil","esESP","GK","Cádiz","esLa Liga","29","1994","5","4","372","4.1","8","1.94","24","17","66.7","0","3","1","1","25.0","0","0","0","0","",
"Pierluigi Gollini","itITA","GK","Napoli","itSerie A","28","1995","7","7","630","7.0","8","1.14","24","16","66.7","3","1","3","1","14.3","0","0","0","0","",
"Mathieu Gorgelin","frFRA","GK","Le Havre","frLigue 1","32","1990","1","1","90","1.0","2","2.00","5","3","80.0","0","0","1","0","0.0","1","1","0","0","0.0",
"Jens Grahl","deGER","GK","Eint Frankfurt","deBundesliga","34","1988","2","2","180","2.0","2","1.00","9","7","77.8","1","1","0","0","0.0","0","0","0","0","",
"Ivo Grbić","hrCRO","GK","Sheffield Utd","engPremier League","27","1996","9","9","771","8.6","25","2.92","59","36","57.6","0","3","6","0","0.0","1","0","0","1","",
"Dominik Greif","skSVK","GK","Mallorca","esLa Liga","26","1997","1","1","90","1.0","0","0.00","4","4","100.0","0","1","0","1","100.0","0","0","0","0","",
"Vicente Guaita","esESP","GK","Celta Vigo","esLa Liga","36","1987","27","26","2,403","26.7","39","1.46","120","83","70.8","8","7","11","6","23.1","5","4","0","1","0.0",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","33","1990","13","13","1,170","13.0","9","0.69","41","33","78.0","9","4","0","5","38.5","1","0","0","1","",
"Dean Henderson","engENG","GK","Crystal Palace","engPremier League","26","1997","18","18","1,620","18.0","30","1.67","86","57","66.3","8","4","6","4","22.2","1","1","0","0","0.0",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","30","1993","32","32","2,869","31.9","47","1.47","132","84","64.4","12","7","13","9","28.1","1","0","1","0","100.0",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","33","1989","33","33","2,970","33.0","24","0.73","102","78","76.5","28","5","0","15","45.5","0","0","0","0","",
"Sam Johnstone","engENG","GK","Crystal Palace","engPremier League","30","1993","20","20","1,796","20.0","27","1.35","67","41","62.7","5","6","9","6","30.0","2","2","0","0","0.0",
"Filip Jørgensen","dkDEN","GK","Villarreal","esLa Liga","21","2002","36","36","3,240","36.0","63","1.75","205","143","72.2","13","10","13","6","16.7","6","6","0","0","0.0",
"Thomas Kaminski","beBEL","GK","Luton Town","engPremier League","30","1992","38","38","3,405","37.8","85","2.25","221","140","63.3","6","8","24","2","5.3","4","4","0","0","0.0",
"Loris Karius","deGER","GK","Newcastle Utd","engPremier League","30","1993","1","1","90","1.0","4","4.00","7","4","42.9","0","0","1","0","0.0","0","0","0","0","",
"Caoimhín Kelleher","ieIRL","GK","Liverpool","engPremier League","24","1998","10","10","900","10.0","11","1.10","38","28","71.1","8","2","0","2","20.0","0","0","0","0","",
"Gregor Kobel","chSUI","GK","Dortmund","deBundesliga","25","1997","27","27","2,365","26.3","34","1.29","118","84","75.4","14","8","5","7","25.9","6","5","1","0","16.7",
"Philipp Köhn","chSUI","GK","Monaco","frLigue 1","25","1998","22","22","1,980","22.0","32","1.45","97","65","72.2","11","5","6","5","22.7","6","5","1","0","16.7",
"Tomáš Koubek","czCZE","GK","Augsburg","deBundesliga","30","1992","3","3","270","3.0","8","2.67","25","17","68.0","0","0","3","0","0.0","0","0","0","0","",
"Matej Kovar","czCZE","GK","Leverkusen","deBundesliga","23","2000","1","1","90","1.0","0","0.00","3","3","100.0","0","1","0","1","100.0","0","0","0","0","",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","24","1999","28","28","2,496","27.7","43","1.55","118","75","70.3","7","4","17","7","25.0","8","8","0","0","0.0",
"Nicola Leali","itITA","GK","Genoa","itSerie A","30","1993","3","2","176","2.0","2","1.02","9","7","77.8","1","0","1","0","0.0","0","0","0","0","",
"Jean-Louis Leca","frFRA","GK","Lens","frLigue 1","37","1985","1","1","90","1.0","2","2.00","2","0","0.0","0","1","0","0","0.0","0","0","0","0","",
"Benjamin Lecomte","frFRA","GK","Montpellier","frLigue 1","32","1991","30","30","2,700","30.0","37","1.23","137","102","75.9","9","11","10","10","33.3","5","4","1","0","20.0",
"Jeremías Ledesma","arARG","GK","Cádiz","esLa Liga","30","1993","34","34","3,048","33.9","47","1.39","151","104","70.2","6","12","16","9","26.5","2","2","0","0","0.0",
"Bernd Leno","deGER","GK","Fulham","engPremier League","31","1992","38","38","3,420","38.0","61","1.61","190","133","72.1","13","8","17","10","26.3","8","8","0","0","0.0",
"Anthony Lopes","ptPOR","GK","Lyon","frLigue 1","32","1990","31","31","2,790","31.0","49","1.58","155","106","71.0","16","4","11","9","29.0","6","4","1","1","20.0",
"Pau López","esESP","GK","Marseille","frLigue 1","28","1994","33","33","2,939","32.7","39","1.19","124","86","71.0","13","11","9","7","21.2","3","3","0","0","0.0",
"Andriy Lunin","uaUKR","GK","Real Madrid","esLa Liga","24","1999","21","21","1,890","21.0","17","0.81","65","48","75.4","16","5","0","10","47.6","1","1","0","0","0.0",
"Andreas Luthe","deGER","GK","Bochum","deBundesliga","36","1987","1","1","90","1.0","4","4.00","4","1","0.0","0","0","1","0","0.0","0","0","0","0","",
"Mike Maignan","frFRA","GK","Milan","itSerie A","28","1995","29","29","2,609","29.0","34","1.17","120","86","77.5","19","5","5","10","34.5","7","7","0","0","0.0",
"Radosław Majecki","plPOL","GK","Monaco","frLigue 1","23","1999","12","12","1,080","12.0","10","0.83","54","45","81.5","9","2","1","7","58.3","0","0","0","0","",
"Giorgi Mamardashvili","geGEO","GK","Valencia","esLa Liga","22","2000","37","37","3,284","36.5","41","1.12","145","103","73.8","13","10","14","13","35.1","6","3","3","0","50.0",
"Steve Mandanda","frFRA","GK","Rennes","frLigue 1","38","1985","34","34","3,060","34.0","46","1.35","147","104","70.7","12","10","12","7","20.6","3","3","0","0","0.0",
"Christos Mandas","grGRE","GK","Lazio","itSerie A","21","2001","9","8","721","8.0","6","0.75","29","23","79.3","6","1","1","4","50.0","0","0","0","0","",
"Vito Mannone","itITA","GK","Lille","frLigue 1","35","1988","2","1","91","1.0","2","1.98","5","3","60.0","0","1","0","0","0.0","0","0","0","0","",
"Diego Mariño","esESP","GK","Almería","esLa Liga","33","1990","1","1","90","1.0","2","2.00","4","2","100.0","0","0","1","0","0.0","2","2","0","0","0.0",
"Unai Marrero","esESP","GK","Real Sociedad","esLa Liga","21","2001","2","1","142","1.6","3","1.90","5","2","60.0","0","0","1","0","0.0","1","1","0","0","0.0",
"Tommaso Martinelli","itITA","GK","Fiorentina","itSerie A","17","2006","1","1","90","1.0","2","2.00","3","1","33.3","1","0","0","0","0.0","0","0","0","0","",
"Emiliano Martínez","arARG","GK","Aston Villa","engPremier League","30","1992","34","34","3,015","33.5","48","1.43","139","95","66.2","19","8","7","8","23.5","1","1","0","0","0.0",
"Josep Martinez","esESP","GK","Genoa","itSerie A","25","1998","36","36","3,239","36.0","43","1.19","130","87","69.2","11","13","12","8","22.2","4","3","1","0","25.0",
"Marc Martínez","esESP","GK","Granada","esLa Liga","33","1990","3","3","270","3.0","11","3.67","23","12","60.9","0","0","3","0","0.0","2","2","0","0","0.0",
"Remi Matthews","engENG","GK","Crystal Palace","engPremier League","29","1994","1","0","4","0.0","1","22.50","1","0","0.0","0","0","0","0","","0","0","0","0","",
"Luís Maximiano","ptPOR","GK","Almería","esLa Liga","24","1999","33","33","2,970","33.0","63","1.91","175","111","66.3","2","11","20","6","18.2","7","4","1","2","20.0",
"Alex Meret","itITA","GK","Napoli","itSerie A","26","1997","31","31","2,773","30.8","40","1.30","104","62","63.5","10","13","8","5","16.1","4","2","2","0","50.0",
"Alexander Meyer","deGER","GK","Dortmund","deBundesliga","32","1991","8","7","695","7.7","9","1.17","27","19","66.7","4","1","2","3","42.9","0","0","0","0","",
"Vanja Milinković-Savić","rsSRB","GK","Torino","itSerie A","26","1997","36","36","3,240","36.0","31","0.86","134","103","81.3","13","14","9","18","50.0","6","6","0","0","0.0",
"Antonio Mirante","itITA","GK","Milan","itSerie A","40","1983","2","2","177","2.0","3","1.53","8","5","62.5","0","1","1","0","0.0","0","0","0","0","",
"Lorenzo Montipò","itITA","GK","Hellas Verona","itSerie A","27","1996","37","37","3,330","37.0","49","1.32","153","105","69.3","9","10","18","8","21.6","2","2","0","0","0.0",
"Kevin Müller","deGER","GK","Heidenheim","deBundesliga","32","1991","34","34","3,060","34.0","55","1.62","174","121","72.4","10","12","12","6","17.6","10","7","1","2","12.5",
"Arijanet Muric","xkKVX","GK","Burnley","engPremier League","24","1998","10","10","900","10.0","16","1.60","78","62","80.8","2","4","4","0","0.0","2","1","1","0","50.0",
"Juan Musso","arARG","GK","Atalanta","itSerie A","29","1994","11","11","990","11.0","12","1.09","34","23","70.6","6","1","4","6","54.5","2","2","0","0","0.0",
"Yvon Mvogo","chSUI","GK","Lorient","frLigue 1","29","1994","34","34","3,060","34.0","66","1.94","207","142","72.0","7","8","19","4","11.8","8","8","0","0","0.0",
"Lapo Nava","itITA","GK","Milan","itSerie A","19","2004","1","0","3","0.0","1","30.00","2","1","50.0","0","0","0","0","","0","0","0","0","",
"Keylor Navas","crCRC","GK","Paris S-G","frLigue 1","36","1986","4","4","360","4.0","6","1.50","12","6","58.3","2","2","0","1","25.0","1","1","0","0","0.0",
"Massamba Ndiaye","snSEN","GK","Clermont Foot","frLigue 1","21","2001","4","4","360","4.0","6","1.50","24","18","79.2","1","2","1","0","0.0","1","1","0","0","0.0",
"Neto","brBRA","GK","Bournemouth","engPremier League","34","1989","32","32","2,880","32.0","55","1.72","165","110","69.7","10","9","13","7","21.9","6","5","1","0","16.7",
"Manuel Neuer","deGER","GK","Bayern Munich","deBundesliga","37","1986","23","23","2,053","22.8","33","1.45","93","59","66.7","16","1","6","6","26.1","3","2","1","0","33.3",
"Moritz Nicolas","deGER","GK","Gladbach","deBundesliga","25","1997","27","27","2,430","27.0","49","1.81","160","111","71.9","6","11","10","4","14.8","4","4","0","0","0.0",
"Alexander Nübel","deGER","GK","Stuttgart","deBundesliga","26","1996","30","30","2,700","30.0","36","1.20","107","74","69.2","20","3","7","11","36.7","3","3","0","0","0.0",
"Ørjan Nyland","noNOR","GK","Sevilla","esLa Liga","32","1990","24","24","2,160","24.0","27","1.13","104","78","76.9","8","9","7","6","25.0","3","3","0","0","0.0",
"Jan Oblak","siSVN","GK","Atlético Madrid","esLa Liga","30","1993","38","38","3,420","38.0","43","1.13","144","101","70.8","24","4","10","13","34.2","2","1","0","1","0.0",
"Guillermo Ochoa","mxMEX","GK","Salernitana","itSerie A","38","1985","21","21","1,890","21.0","44","2.10","115","72","67.8","0","6","15","1","4.8","7","7","0","0","0.0",
"Maduka Okoye","ngNGA","GK","Udinese","itSerie A","23","1999","21","21","1,890","21.0","25","1.19","89","65","75.3","5","8","8","5","23.8","3","3","0","0","0.0",
"Robin Olsen","seSWE","GK","Aston Villa","engPremier League","33","1990","5","4","405","4.5","13","2.89","34","20","61.8","1","0","3","0","0.0","1","0","1","0","100.0",
"Jonas Omlin","chSUI","GK","Gladbach","deBundesliga","29","1994","7","7","630","7.0","18","2.57","47","29","66.0","1","2","4","0","0.0","2","2","0","0","0.0",
"André Onana","cmCMR","GK","Manchester Utd","engPremier League","27","1996","38","38","3,420","38.0","58","1.53","203","146","74.9","18","6","14","9","23.7","7","7","0","0","0.0",
"Stefan Ortega","deGER","GK","Manchester City","engPremier League","30","1992","9","5","635","7.1","7","0.99","27","20","74.1","4","1","0","3","60.0","0","0","0","0","",
"Alexandre Oukidja","dzALG","GK","Metz","frLigue 1","35","1988","34","34","2,987","33.2","57","1.72","185","128","72.4","8","5","21","6","17.6","6","6","0","0","0.0",
"Jesús Owono","gqEQG","GK","Alavés","esLa Liga","22","2001","4","4","360","4.0","8","2.00","24","16","66.7","1","2","1","1","25.0","0","0","0","0","",
"Rui Patrício","ptPOR","GK","Roma","itSerie A","35","1988","23","23","2,070","23.0","27","1.17","74","49","66.2","11","5","7","6","26.1","3","2","0","1","0.0",
"Jiří Pavlenka","czCZE","GK","Werder Bremen","deBundesliga","31","1992","7","7","630","7.0","17","2.43","38","21","60.5","2","0","5","1","14.3","2","2","0","0","0.0",
"Iñaki Peña","esESP","GK","Barcelona","esLa Liga","24","1999","10","10","900","10.0","17","1.70","39","22","56.4","6","2","2","2","20.0","0","0","0","0","",
"Daniel Peretz","ilISR","GK","Bayern Munich","deBundesliga","23","2000","1","0","17","0.2","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Simone Perilli","itITA","GK","Hellas Verona","itSerie A","28","1995","1","1","90","1.0","2","2.00","10","8","80.0","0","1","0","0","0.0","0","0","0","0","",
"Mattia Perin","itITA","GK","Juventus","itSerie A","30","1992","3","3","225","2.5","1","0.40","5","4","80.0","2","1","0","1","33.3","0","0","0","0","",
"Samuele Perisan","itITA","GK","Empoli","itSerie A","25","1997","1","1","90","1.0","2","2.00","5","3","60.0","0","0","1","0","0.0","0","0","0","0","",
"Pavao Pervan","atAUT","GK","Wolfsburg","deBundesliga","35","1987","9","9","810","9.0","17","1.89","36","20","52.8","2","1","6","2","22.2","0","0","0","0","",
"Denis Petrić","rsSRB","GK","Nantes","frLigue 1","35","1988","1","0","24","0.3","1","3.75","1","0","0.0","0","0","0","0","","0","0","0","0","",
"Đorđe Petrović","rsSRB","GK","Chelsea","engPremier League","23","1999","23","22","1,987","22.1","38","1.72","108","73","65.7","13","5","4","5","22.7","2","1","0","1","0.0",
"Jordan Pickford","engENG","GK","Everton","engPremier League","29","1994","38","38","3,420","38.0","51","1.34","165","117","73.9","13","9","16","13","34.2","8","8","0","0","0.0",
"Carlo Pinsoglio","itITA","GK","Juventus","itSerie A","33","1990","1","0","45","0.5","0","0.00","3","3","100.0","0","0","0","1","","0","0","0","0","",
"Nick Pope","engENG","GK","Newcastle Utd","engPremier League","31","1992","15","15","1,345","14.9","16","1.07","58","42","72.4","9","2","4","5","33.3","0","0","0","0","",
"Ivan Provedel","itITA","GK","Lazio","itSerie A","29","1994","30","30","2,699","30.0","33","1.10","119","86","73.9","12","6","12","9","30.0","3","2","0","1","0.0",
"Ionuț Radu","roROU","GK","Bournemouth","engPremier League","26","1997","2","2","180","2.0","7","3.50","11","4","36.4","1","0","1","0","0.0","0","0","0","0","",
"Boris Radunović","rsSRB","GK","Cagliari","itSerie A","27","1996","7","7","630","7.0","12","1.71","27","16","55.6","0","2","5","2","28.6","1","0","0","1","",
"Predrag Rajković","rsSRB","GK","Mallorca","esLa Liga","27","1995","36","36","3,240","36.0","43","1.19","138","95","71.7","7","15","14","9","25.0","5","4","1","0","20.0",
"Aaron Ramsdale","engENG","GK","Arsenal","engPremier League","25","1998","6","6","540","6.0","5","0.83","14","9","64.3","5","1","0","2","33.3","0","0","0","0","",
"Federico Ravaglia","itITA","GK","Bologna","itSerie A","23","1999","6","6","535","5.9","3","0.50","18","13","83.3","4","1","1","4","66.7","1","0","1","0","100.0",
"David Raya","esESP","GK","Arsenal","engPremier League","27","1995","32","32","2,880","32.0","24","0.75","69","45","68.1","23","4","5","16","50.0","3","2","1","0","33.3",
"Pepe Reina","esESP","GK","Villarreal","esLa Liga","40","1982","2","2","180","2.0","2","1.00","9","7","77.8","1","1","0","0","0.0","0","0","0","0","",
"Álex Remiro","esESP","GK","Real Sociedad","esLa Liga","28","1995","37","37","3,275","36.4","36","0.99","130","94","76.2","16","12","9","15","40.5","6","5","1","0","16.7",
"Guillaume Restes","frFRA","GK","Toulouse","frLigue 1","18","2005","34","34","3,060","34.0","46","1.35","139","93","69.8","11","10","13","6","17.6","4","4","0","0","0.0",
"Manuel Riemann","deGER","GK","Bochum","deBundesliga","34","1988","33","33","2,970","33.0","70","2.12","185","116","67.0","7","12","14","4","12.1","11","9","2","0","18.2",
"Rémy Riou","frFRA","GK","Lyon","frLigue 1","35","1987","3","3","270","3.0","6","2.00","14","8","57.1","0","1","2","1","33.3","0","0","0","0","",
"Francesco Rossi","itITA","GK","Atalanta","itSerie A","32","1991","1","0","5","0.1","0","0.00","1","1","100.0","0","0","0","1","","0","0","0","0","",
"Frederik Rønnow","dkDEN","GK","Union Berlin","deBundesliga","30","1992","33","33","2,970","33.0","56","1.70","162","105","68.5","9","6","18","7","21.2","7","5","2","0","28.6",
"José Sá","ptPOR","GK","Wolves","engPremier League","30","1993","35","35","3,037","33.7","58","1.72","188","131","73.4","12","7","16","4","11.4","8","8","0","0","0.0",
