Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","2.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","35.5","3","45","11","24.4","1.27","0.31","0.07","0.27","20.7","0","0","0","2.6","2.6","0.06","+0.4","+0.4",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","14.5","0","1","1","100.0","0.07","0.07","0.00","0.00","12.5","0","0","0","0.1","0.1","0.08","-0.1","-0.1",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38.0","0","19","4","21.1","0.50","0.11","0.00","0.00","15.4","0","0","0","1.6","1.6","0.09","-1.6","-1.6",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","22.5","3","36","10","27.8","1.60","0.44","0.06","0.20","24.9","0","1","1","2.9","2.1","0.06","+0.1","-0.1",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","0.4","0","1","0","0.0","2.81","0.00","0.00","","15.5","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","15.8","0","5","1","20.0","0.32","0.06","0.00","0.00","11.4","0","0","0","0.8","0.8","0.15","-0.8","-0.8",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","8.8","0","7","2","28.6","0.80","0.23","0.00","0.00","26.9","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","36.8","3","18","7","38.9","0.49","0.19","0.17","0.43","9.8","0","0","0","3.4","3.4","0.20","-0.4","-0.4",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","16.8","2","22","7","31.8","1.31","0.42","0.09","0.29","20.8","0","0","0","1.4","1.4","0.07","+0.6","+0.6",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","8.0","0","2","1","50.0","0.25","0.12","0.00","0.00","26.9","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","7.2","0","9","3","33.3","1.26","0.42","0.00","0.00","27.1","2","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","22.2","0","8","0","0.0","0.36","0.00","0.00","","10.8","0","0","0","0.7","0.7","0.09","-0.7","-0.7",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","3.0","1","2","1","50.0","0.67","0.33","0.50","1.00","18.0","0","0","0","0.7","0.7","0.36","+0.3","+0.3",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","2.4","0","1","0","0.0","0.42","0.00","0.00","","46.4","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","1.8","0","3","0","0.0","1.63","0.00","0.00","","17.0","0","0","0","0.2","0.2","0.08","-0.2","-0.2",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","10.5","2","17","9","52.9","1.62","0.86","0.00","0.00","15.0","0","2","2","3.3","1.8","0.10","-1.3","-1.8",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","26.5","1","17","5","29.4","0.64","0.19","0.06","0.20","21.8","0","0","0","1.1","1.1","0.06","-0.1","-0.1",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","22.6","0","1","0","0.0","0.04","0.00","0.00","","23.8","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","11.7","3","10","4","40.0","0.86","0.34","0.30","0.75","14.0","0","0","0","1.5","1.5","0.15","+1.5","+1.5",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","27.3","21","116","41","35.3","4.25","1.50","0.16","0.46","15.0","3","2","2","18.1","16.5","0.14","+2.9","+2.5",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","28.1","1","13","4","30.8","0.46","0.14","0.08","0.25","20.1","0","0","0","0.9","0.9","0.07","+0.1","+0.1",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","3.8","0","3","1","33.3","0.78","0.26","0.00","0.00","19.0","0","0","0","0.5","0.5","0.17","-0.5","-0.5",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","1.8","0","2","0","0.0","1.12","0.00","0.00","","13.0","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","11.9","0","13","3","23.1","1.09","0.25","0.00","0.00","18.8","0","0","0","0.8","0.8","0.06","-0.8","-0.8",
