Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","26.4","592","797","74.3","7577","2182","346","423","81.8","150","195","76.9","25","65","38.5","3","4.2","2.6","-1.2","46","47","16","4","86",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","1.9","51","71","71.8","659","109","36","38","94.7","14","23","60.9","1","6","16.7","0","0.0","0.1","0.0","1","3","0","0","6",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","0.7","23","29","79.3","375","79","14","15","93.3","6","8","75.0","2","5","40.0","0","0.0","0.0","0.0","0","0","0","0","0",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","0.0","1","1","100.0","8","0","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37.0","1679","2031","82.7","32967","13407","490","571","85.8","1006","1117","90.1","155","279","55.6","2","1.0","0.9","+1.0","13","155","5","0","215",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","23.7","1043","1257","83.0","18273","4649","465","536","86.8","421","494","85.2","122","169","72.2","2","2.9","2.5","-0.9","36","124","26","8","151",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","32.2","1819","1981","91.8","28679","7020","897","964","93.0","769","811","94.8","92","117","78.6","1","1.6","2.3","-0.6","17","182","17","3","165",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","26.0","1308","1483","88.2","22287","7579","593","640","92.7","562","617","91.1","111","160","69.4","1","1.3","1.1","-0.3","14","144","11","0","143",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","6.6","115","195","59.0","1943","930","58","85","68.2","41","71","57.7","13","27","48.1","0","0.4","0.3","-0.4","6","17","3","2","15",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","9.0","69","105","65.7","1187","235","24","36","66.7","35","44","79.5","5","11","45.5","1","0.7","0.3","+0.3","5","7","3","1","8",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","1.2","7","15","46.7","129","30","3","6","50.0","3","4","75.0","1","1","100.0","0","0.3","0.2","-0.3","2","1","1","0","2",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","6.7","252","351","71.8","3886","1578","130","149","87.2","94","134","70.1","16","42","38.1","0","0.1","0.5","-0.1","2","18","3","1","16",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","27.5","576","777","74.1","7539","1994","373","447","83.4","158","208","76.0","12","29","41.4","5","3.3","2.8","+1.7","22","30","22","4","72",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","24.3","342","513","66.7","4964","1248","198","260","76.2","102","163","62.6","24","36","66.7","3","3.7","2.8","-0.7","33","18","17","2","54",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","0.2","9","9","100.0","129","4","5","5","100.0","4","4","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","26.9","1455","1644","88.5","27034","8090","545","594","91.8","737","802","91.9","149","202","73.8","2","1.1","1.2","+0.9","16","86","14","3","100",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","0.1","7","8","87.5","151","113","2","2","100.0","4","4","100.0","1","2","50.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Mohamed Achi","frFRA","FW","Nantes","frLigue 1","20","2002","0.4","18","21","85.7","274","76","7","7","100.0","10","12","83.3","0","1","0.0","0","0.0","0.0","0.0","1","1","0","0","3",
