Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","0.3","0","0","0","0","0","0.0","0.04","0.0","+0.13","1","3","33.3","5","1","40.0","30.2","1","100.0","65.0","1","0","0.0","0","0.00","",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","9.7","10","0","1","1","0","7.5","0.28","-2.5","-0.26","36","99","36.4","241","51","33.2","33.0","70","27.1","29.2","127","7","5.5","14","1.44","15.3",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","24","1995","10.0","17","0","0","3","1","11.3","0.24","-4.7","-0.47","50","121","41.3","248","56","30.6","31.3","81","55.6","43.9","163","9","5.5","9","0.90","14.0",
"Enrico Alfonso","itITA","GK","Brescia","itSerie A","31","1988","3.1","4","0","0","0","0","2.6","0.23","-1.4","-0.47","8","27","29.6","56","9","35.7","33.3","24","29.2","29.0","54","0","0.0","4","1.29","12.9",
"Alisson","brBRA","GK","Liverpool","engPremier League","26","1992","28.3","23","1","0","1","1","19.7","0.24","-2.3","-0.08","85","189","45.0","778","140","18.4","27.4","167","27.5","30.9","299","10","3.3","63","2.23","19.2",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","32","1986","2.0","1","0","0","0","0","1.0","0.34","0.0","+0.01","5","18","27.8","35","6","25.7","30.1","19","47.4","38.8","37","0","0.0","1","0.50","16.0",
"Lorenzo Andrenacci","itITA","GK","Brescia","itSerie A","24","1995","5.9","16","0","1","1","0","12.8","0.29","-3.2","-0.54","24","60","40.0","96","45","28.1","31.8","66","50.0","40.8","98","3","3.1","1","0.17","10.1",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","35","1984","13.0","16","0","0","1","1","15.4","0.30","+0.4","+0.03","81","158","51.3","361","57","24.7","30.3","100","69.0","44.3","150","7","4.7","23","1.77","17.7",
"Alphonse Areola","frFRA","GK","Real Madrid","esLa Liga","26","1993","4.0","5","2","0","1","0","4.1","0.15","-0.9","-0.22","14","32","43.8","105","27","17.1","26.9","29","48.3","41.4","57","2","3.5","4","1.00","14.2",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","26","1993","3.0","2","0","0","0","0","1.4","0.46","-0.6","-0.21","2","2","100.0","48","9","0.0","17.5","9","22.2","25.7","23","1","4.3","6","2.00","18.5",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","24","1994","33.0","47","2","2","7","2","33.7","0.32","-11.3","-0.34","83","250","33.2","892","151","20.6","28.3","198","33.3","32.7","343","20","5.8","35","1.06","16.0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","30","1989","34.0","41","5","0","8","1","38.7","0.23","-1.3","-0.04","130","397","32.7","750","157","33.2","33.2","282","52.5","41.6","576","16","2.8","27","0.79","14.1",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","22","1997","36.0","60","7","0","10","4","47.9","0.25","-8.1","-0.23","187","519","36.0","742","132","45.7","37.2","291","61.9","44.6","603","16","2.7","32","0.89","14.0",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","17","2001","1.0","1","0","0","1","0","0.1","0.05","-0.9","-0.90","1","2","50.0","11","4","0.0","18.1","8","25.0","28.8","12","0","0.0","5","5.00","27.2",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","29","1990","30.0","49","5","0","4","2","48.5","0.29","+1.5","+0.05","137","391","35.0","1019","174","28.8","29.9","262","37.4","34.5","485","18","3.7","27","0.90","13.9",
"Asmir Begović","baBIH","GK","Milan","itSerie A","32","1987","1.4","3","1","0","0","0","4.0","0.43","+1.0","+0.73","3","10","30.0","26","5","26.9","30.5","12","25.0","33.1","16","0","0.0","0","0.00","",
"Walter Benítez","arARG","GK","Nice","frLigue 1","26","1993","26.0","36","4","0","6","2","41.1","0.28","+7.1","+0.27","52","150","34.7","574","139","16.6","24.4","214","25.7","28.9","421","11","2.6","17","0.65","13.3",
"Etrit Berisha","alALB","GK","SPAL","itSerie A","30","1989","26.0","44","6","1","2","2","45.4","0.27","+3.4","+0.13","164","389","42.2","642","142","39.6","34.0","233","57.9","44.1","419","12","2.9","21","0.81","14.3",
"Paul Bernardoni","frFRA","GK","Nîmes","frLigue 1","22","1997","24.5","38","4","0","2","1","30.7","0.26","-6.3","-0.26","130","379","34.3","530","80","47.4","37.1","175","73.1","50.7","265","11","4.2","26","1.06","15.6",
